Date,Open,High,Low,Close,Volume,Adj Close
1995-05-02,26.25,28.125,26.25,28.125,0,0.04549
1995-05-03,26.25,28.125,26.25,28.125,0,0.04549
1995-05-04,26.875,28.125,26.875,28.125,0,0.04549
1995-05-05,26.875,28.75,26.875,28.125,0,0.04549
1995-05-08,27.5,28.75,26.875,28.75,0,0.0465
1995-05-09,27.5,28.75,27.5,28.75,0,0.0465
1995-05-10,27.5,28.75,27.5,28.75,0,0.0465
1995-05-12,28.125,28.75,28.125,28.75,0,0.0465
1995-05-15,27.5,28.125,27.5,28.125,0,0.04549
1995-05-16,27.5,27.5,27.5,27.5,0,0.04448
1995-05-17,27.5,27.8125,27.25,27.5,0,0.04448
1995-05-18,27.5,28.75,27.5,28.75,0,0.0465
1995-05-19,28.125,28.75,28.125,28.75,0,0.0465
1995-05-22,28.125,28.75,28.125,28.75,0,0.0465
1995-05-23,28.125,30.0,28.125,29.375,0,0.04751
1995-05-24,28.125,28.75,27.5,28.75,0,0.0465
1995-05-25,28.125,28.75,28.125,28.75,0,0.0465
1995-05-26,28.125,28.75,28.125,28.75,0,0.0465
1995-05-29,27.5,28.75,27.5,28.125,0,0.04549
1995-05-30,27.5,28.125,27.5,28.125,0,0.04549
1995-05-31,27.8125,28.125,27.5,27.8125,0,0.04499
1996-04-02,15.625,15.625,15.25,15.5,0,0.02514
1996-04-03,15.9375,16.0938,15.7812,16.0938,0,0.0261
1996-04-04,15.7812,16.25,15.7812,16.0938,0,0.0261
1996-04-05,16.0938,16.0938,15.7812,15.7812,0,0.0256
1996-04-08,16.0938,16.5625,16.0938,16.25,0,0.02636
1996-04-09,16.25,16.5625,16.25,16.5625,0,0.02686
1996-04-10,16.25,16.5625,16.25,16.5625,0,0.02686
1996-04-11,16.5625,16.5625,16.25,16.25,0,0.02636
1996-04-12,16.25,16.5625,16.25,16.25,0,0.02636
1996-04-15,16.5625,16.5625,16.5625,16.5625,0,0.02686
1996-04-16,16.4062,16.4062,16.4062,16.4062,0,0.02661
1996-04-17,16.25,16.25,16.25,16.25,0,0.02636
1996-04-18,16.25,16.5625,16.25,16.5625,0,0.02686
1996-04-22,17.1875,18.5938,17.1875,17.6562,100,0.02864
1996-04-23,18.75,18.75,17.6562,17.6562,0,0.02864
1996-04-24,17.9688,17.9688,17.6562,17.8125,100,0.02889
1996-04-25,17.9688,18.125,17.5,17.5,0,0.02838
1996-04-26,17.5,17.6562,17.3438,17.3438,0,0.02813
1996-04-30,17.5,17.6562,17.5,17.5,0,0.02838
1996-05-02,17.5,17.5,17.3438,17.5,0,0.02838
1996-05-03,17.5,17.6562,17.3438,17.5,0,0.02838
1996-05-06,17.5,17.5,17.1875,17.1875,0,0.02788
1996-05-09,17.1875,17.1875,17.1875,17.1875,0,0.02788
1996-05-10,17.1875,17.3438,17.0312,17.3438,0,0.02813
1996-05-13,17.1875,17.1875,16.875,16.875,0,0.02737
1996-05-14,16.875,17.1875,16.875,17.1875,0,0.02788
1996-05-15,17.5,17.5,16.875,17.1875,0,0.02788
1996-05-16,17.1875,17.1875,16.875,16.875,0,0.02737
1996-05-17,16.875,17.1875,16.875,17.1875,0,0.02788
1996-05-20,16.875,16.875,16.875,16.875,0,0.02737
1996-05-21,16.875,16.875,16.25,16.25,0,0.02636
1996-05-22,16.5625,16.875,16.25,16.25,0,0.02636
1996-05-23,16.25,16.25,16.25,16.25,0,0.02636
1996-05-24,16.25,16.25,15.625,15.625,0,0.02534
1996-05-27,15.7812,15.7812,15.3125,15.3125,0,0.02484
1996-05-28,15.0,15.0,15.0,15.0,0,0.02433
1996-05-29,15.625,15.625,15.0,15.0,0,0.02433
1996-05-30,15.625,15.625,15.0,15.0,100,0.02433
1996-05-31,15.375,15.75,15.375,15.5,0,0.02514
1996-06-03,15.625,15.625,15.4688,15.625,0,0.02534
