Date,Open,High,Low,Close,Volume,Adj Close
2003-05-08,4.8,4.9,4.45,4.55,18700,87.539
2003-05-09,4.65,4.7,4.55,4.7,11400,90.425
2003-05-12,4.7,5.15,4.7,5.0,75200,96.197
2003-05-13,5.15,5.2,4.95,5.0,52600,96.197
2003-05-14,5.1,5.75,5.0,5.45,79700,104.854
2003-05-15,5.5,5.6,5.4,5.45,86800,104.854
2003-05-16,5.5,5.6,5.3,5.4,44600,103.893
2003-05-19,5.5,5.55,5.25,5.3,44500,101.969
2003-05-20,5.25,5.35,5.1,5.15,26200,99.083
2003-05-21,5.25,5.7,5.2,5.6,59800,107.741
2003-05-22,5.75,6.05,5.45,6.0,161200,115.436
2003-05-23,6.2,6.3,6.0,6.25,90400,120.246
2003-05-26,6.35,6.7,6.3,6.6,125100,126.98
2003-05-27,6.8,6.8,6.25,6.3,104900,121.208
2003-05-28,6.5,6.55,6.3,6.4,57400,123.132
2003-05-29,6.5,6.75,6.45,6.65,104000,127.942
2003-05-30,6.7,7.05,6.7,6.85,137100,131.789
2003-06-02,6.95,7.35,6.9,7.05,152900,135.638
2003-06-03,7.2,7.25,6.75,6.85,89400,131.789
2003-06-04,7.0,7.1,6.85,7.0,81000,134.676
2003-06-05,6.9,7.15,6.85,6.85,81500,131.789
2003-06-06,6.85,7.05,6.8,6.85,47300,131.789
2003-06-09,6.95,7.55,6.8,7.45,225200,143.334
2003-06-10,7.6,7.75,6.8,6.9,306400,132.751
2003-06-11,7.1,7.4,7.0,7.05,108000,135.638
2003-06-12,7.05,7.4,7.05,7.2,109100,138.523
2003-06-13,7.6,7.6,7.1,7.15,51300,137.562
2003-06-16,7.25,7.25,6.95,7.05,49400,135.638
2003-06-17,7.2,7.2,7.0,7.05,39700,135.638
2003-06-18,7.1,7.15,6.95,7.0,77100,134.676
2003-06-19,7.0,7.25,7.0,7.1,87600,136.6
2003-06-20,7.1,7.3,7.05,7.2,97800,138.523
2003-06-23,7.25,7.75,7.15,7.35,293900,141.409
2003-06-24,7.35,8.4,7.35,8.3,474000,159.687
2003-06-25,8.85,8.95,8.35,8.7,442400,167.382
2003-06-26,8.9,9.05,8.6,8.65,219400,166.42
2003-06-27,8.8,8.9,8.3,8.8,238900,169.307
2003-06-30,9.5,9.6,8.95,9.35,295000,179.888
2003-07-01,9.6,10.4,9.25,10.2,456500,196.242
2003-07-02,10.5,12.25,10.5,11.65,953600,224.139
2003-07-03,11.8,12.4,11.05,11.3,480900,217.405
2003-07-04,10.15,11.5,10.15,11.0,337900,211.634
2003-07-07,11.5,11.8,10.8,11.65,365400,224.139
2003-07-08,11.95,12.0,11.05,11.2,262400,215.481
2003-07-09,11.15,11.4,10.65,10.8,289400,207.785
2003-07-10,10.9,11.05,10.55,10.65,178800,204.9
2003-07-11,10.6,11.2,10.6,10.65,182900,204.9
2003-07-14,11.0,11.2,10.6,10.95,221500,210.671
2003-07-15,10.95,11.25,10.4,10.9,240600,209.709
2003-07-16,10.95,11.4,10.8,11.3,309500,217.405
2003-07-17,11.5,11.8,11.0,11.1,380400,213.557
2003-07-18,11.15,11.25,10.6,10.85,242600,208.747
