Date,Open,High,Low,Close,Volume,Adj Close
2005-07-12,65.9,70.0,60.0,60.85,48988300,56.63
2005-07-13,61.0,63.0,57.45,58.7,12822300,54.63
2005-07-14,60.0,60.0,57.0,57.25,3256500,53.28
2005-07-15,56.25,64.45,56.25,61.85,15089600,57.56
2005-07-18,62.7,65.7,62.5,64.1,15136900,59.65
2005-07-19,65.0,65.0,63.1,63.95,5089100,59.52
2005-07-20,64.1,64.85,63.0,63.5,1881300,59.1
2005-07-21,63.9,64.0,62.25,62.5,2032900,58.17
2005-07-22,62.8,63.0,61.8,62.05,1005200,57.75
2005-07-25,63.0,63.0,61.1,61.4,1080600,57.14
2005-07-26,61.6,64.0,61.0,62.45,2329500,58.12
2005-07-27,63.3,64.5,62.35,63.55,2496200,59.14
2005-07-29,63.55,64.25,62.0,62.45,1237200,58.12
2005-08-01,63.05,64.3,62.75,63.3,3590900,58.91
2005-08-02,64.0,74.3,64.0,71.6,30856700,66.63
2005-08-03,72.5,72.85,68.15,69.55,11393300,64.73
2005-08-04,70.0,73.7,69.6,71.7,8579600,66.73
2005-08-05,71.5,72.75,71.0,71.55,2616000,66.59
2005-08-08,71.95,72.35,70.45,70.65,2154300,65.75
2005-08-09,70.9,71.15,68.55,69.7,1503600,64.87
2005-08-10,70.0,73.5,70.0,71.5,3291400,66.54
2005-08-11,71.95,72.8,71.2,71.65,1786200,66.68
2005-08-12,71.5,71.9,70.5,70.7,901900,65.8
2005-08-16,70.9,71.45,69.0,69.45,1088400,64.63
2005-08-17,69.4,70.9,68.75,69.05,1035900,64.26
2005-08-18,69.7,70.05,68.55,68.95,964600,64.17
2005-08-19,69.65,69.65,67.4,67.9,814300,63.19
2005-08-22,68.5,68.6,66.25,66.7,916100,62.07
2005-08-23,67.45,67.45,63.9,64.6,1476300,60.12
2005-08-24,64.2,65.9,63.9,64.65,616400,60.17
2005-08-25,65.0,67.3,64.75,65.7,496600,61.14
2005-08-26,66.1,68.0,65.7,66.2,466000,61.61
2005-08-29,67.0,67.0,64.2,65.25,1245500,60.73
2005-08-30,65.95,67.15,65.7,66.45,405300,61.84
2005-08-31,67.0,68.65,66.15,67.05,852600,62.4
2005-09-01,67.95,68.3,66.5,67.0,382100,62.35
2005-09-02,67.1,73.95,65.7,70.6,3439500,65.7
2005-09-05,71.1,71.5,68.0,68.3,794800,63.56
2005-09-06,68.95,71.4,68.0,68.85,1159700,64.08
2005-09-08,68.0,69.65,68.0,69.1,528800,64.31
2005-09-09,69.85,73.35,68.7,72.7,3011100,67.66
2005-09-12,73.2,73.8,71.5,71.7,1453100,66.73
2005-09-13,72.0,73.0,70.9,71.5,1206300,66.54
2005-09-14,72.55,73.6,70.15,71.7,1867100,66.73
2005-09-15,72.0,72.5,70.8,71.0,705300,66.08
2005-09-16,70.5,71.85,64.9,70.7,444400,65.8
2005-09-19,71.45,71.45,69.5,69.8,771600,64.96
2005-09-20,70.4,70.4,68.1,68.85,1084900,64.08
2005-09-21,69.0,69.45,63.55,65.35,3364500,60.82
2005-09-22,65.8,65.8,63.6,63.9,1132400,59.47
2005-09-23,64.3,66.5,61.2,62.9,1582400,58.54
2005-09-26,63.9,66.7,63.9,65.05,948800,60.54
2005-09-27,65.5,66.9,65.1,66.45,863500,61.84
2005-09-28,67.5,69.8,67.05,68.65,1384100,63.89
2005-09-29,69.25,69.25,67.2,67.65,693300,62.96
2005-09-30,67.6,67.95,65.25,66.35,824400,61.75
2005-10-03,66.85,67.9,66.15,66.55,422000,61.94
2005-10-04,67.25,67.7,66.75,67.1,670600,62.45
2005-10-05,67.7,69.5,66.6,67.75,946400,63.05
2005-10-06,68.45,71.2,66.25,68.4,2606200,63.66
2005-10-07,69.4,70.5,68.3,69.2,1765300,64.4
2005-10-10,70.0,72.15,67.55,68.2,4766200,63.47
2005-10-11,69.0,69.0,66.9,67.2,1067800,62.54
2005-10-13,67.3,67.85,65.4,65.65,1566200,61.1
2005-10-14,66.25,66.25,64.25,64.7,1277800,60.21
2005-10-17,65.5,65.5,62.75,63.0,1115900,58.63
2005-10-18,63.6,66.15,63.05,65.7,977100,61.14
2005-10-19,64.45,65.9,63.2,64.7,964500,60.21
2005-10-20,65.6,66.0,64.0,64.65,815800,60.17
2005-10-21,65.0,65.0,62.15,63.55,688200,59.14
2005-10-24,64.0,66.0,64.0,64.55,355400,60.07
2005-10-25,65.15,65.8,64.0,65.05,326900,60.54
2005-10-26,65.75,65.75,64.5,65.4,252900,60.86
2005-10-27,65.0,65.35,64.5,65.1,241800,60.59
2005-10-28,64.95,65.45,63.05,63.45,536800,59.05
2005-10-31,63.95,65.3,63.5,64.95,162900,60.45
2005-11-01,66.1,67.0,65.0,65.9,87300,61.33
2005-11-02,66.2,66.2,64.5,65.85,206100,61.28
2005-11-07,66.0,66.0,65.0,65.4,197400,60.86
2005-11-08,65.8,66.65,64.85,65.3,229500,60.77
2005-11-09,66.0,66.2,64.8,65.0,243300,60.49
2005-11-10,65.2,65.7,65.0,65.2,114400,60.68
2005-11-11,65.8,66.95,65.3,66.5,324300,61.89
2005-11-14,67.0,67.75,65.25,65.85,157500,61.28
2005-11-16,66.1,67.05,65.5,66.05,168400,61.47
2005-11-17,66.65,67.5,66.0,66.2,199300,61.61
2005-11-18,66.0,67.1,66.0,66.2,183400,61.61
2005-11-21,67.0,69.2,65.0,67.6,597300,62.91
2005-11-22,68.5,68.5,67.1,67.55,249800,62.87
2005-11-23,67.7,68.3,67.65,68.0,281300,63.28
2005-11-24,68.7,68.7,67.65,68.0,341100,63.28
2005-11-25,68.3,69.8,67.8,68.05,523500,63.33
2005-11-28,68.6,68.95,67.5,68.0,333800,63.28
2005-11-29,67.7,68.6,66.5,67.95,192800,63.24
2005-11-30,67.6,68.8,67.0,67.2,332500,62.54
2005-12-01,66.5,68.7,66.5,68.35,218000,63.61
2005-12-02,68.25,71.1,68.1,69.3,1439600,64.49
2005-12-05,69.6,70.8,69.0,70.05,492800,65.19
2005-12-06,70.1,70.35,70.0,70.1,291500,65.24
2005-12-07,70.2,70.75,70.0,70.25,195000,65.38
2005-12-08,70.8,71.4,70.25,70.9,273600,65.98
2005-12-09,71.45,71.7,70.85,71.0,273800,66.08
2005-12-12,71.1,71.6,69.1,69.8,262700,64.96
2005-12-13,69.9,70.75,69.15,70.1,311200,65.24
2005-12-14,77.15,77.15,69.85,70.35,557400,65.47
2005-12-15,71.0,71.9,70.25,70.3,278500,65.42
2005-12-16,68.0,70.45,66.0,69.8,1001700,64.96
2005-12-19,69.0,71.0,68.5,68.9,342300,64.12
2005-12-20,68.9,69.8,68.1,69.05,183700,64.26
2005-12-21,69.4,70.0,68.85,69.3,301900,64.49
2005-12-22,68.0,69.3,67.5,67.85,149200,63.14
2005-12-23,68.2,68.75,68.05,68.35,137800,63.61
2005-12-26,68.0,68.5,66.35,67.0,127500,62.35
2005-12-27,67.75,69.7,67.0,68.8,110100,64.03
2005-12-28,68.5,69.25,68.25,68.85,94900,64.08
2005-12-29,68.9,70.15,68.1,69.95,306500,65.1
2005-12-30,69.0,70.5,68.15,68.4,89400,63.66
2006-01-02,69.0,69.5,68.2,68.35,80200,63.61
2006-01-03,68.6,71.2,68.5,69.5,342300,64.68
2006-01-04,69.95,70.0,68.5,68.95,154200,64.17
2006-01-05,69.9,73.4,68.75,71.6,1751100,66.63
2006-01-06,71.5,72.65,69.75,71.45,673600,66.5
2006-01-09,72.0,72.45,68.5,69.15,1005100,64.35
2006-01-10,69.5,71.35,68.0,68.15,1094300,63.42
2006-01-12,68.75,70.1,68.0,69.65,505300,64.82
2006-01-13,70.25,74.95,70.0,74.2,1935700,69.05
2006-01-16,74.9,76.6,73.15,73.8,1247600,68.68
2006-01-17,74.0,74.35,72.0,73.05,377400,67.98
2006-01-18,72.5,73.0,71.1,71.85,196600,66.87
2006-01-19,72.0,74.0,72.0,72.3,201100,67.29
2006-01-20,72.5,73.2,71.35,71.65,237800,66.68
2006-01-23,71.0,73.5,70.1,73.0,326600,67.94
2006-01-24,73.5,75.6,73.4,75.25,661700,70.03
2006-01-25,75.25,84.3,75.0,82.05,2438000,76.36
2006-01-27,83.0,85.45,81.55,82.0,1216000,76.31
2006-01-30,82.0,83.0,77.05,78.75,629600,73.29
2006-01-31,77.15,79.2,76.5,76.8,243200,71.47
2006-02-01,77.45,79.9,77.0,77.8,367700,72.4
2006-02-02,78.5,80.5,77.5,80.0,450000,74.45
2006-02-03,80.0,80.0,77.9,78.6,180900,73.15
2006-02-06,78.1,79.3,78.1,79.0,296300,73.52
2006-02-07,79.0,81.7,78.75,79.6,269200,74.08
2006-02-08,80.0,81.0,77.95,80.4,241200,74.82
2006-02-10,80.8,82.65,79.6,79.85,714300,74.31
2006-02-13,79.5,80.9,78.6,79.8,394100,74.27
2006-02-14,80.0,82.4,78.1,81.5,595400,75.85
2006-02-15,81.9,81.9,79.1,80.4,343400,74.82
2006-02-16,80.0,81.3,78.4,80.65,302500,75.06
2006-02-17,81.0,81.9,79.55,81.2,296800,75.57
2006-02-20,80.15,80.8,78.55,80.3,200200,74.73
2006-02-21,80.0,84.6,79.3,83.6,415400,77.8
2006-02-22,83.5,84.25,82.1,82.7,362900,76.97
2006-02-23,81.5,82.0,80.35,81.7,129300,76.03
2006-02-24,81.15,81.9,79.15,80.25,352800,74.69
2006-02-27,81.0,81.25,79.5,80.2,102200,74.64
2006-02-28,81.0,82.2,80.25,80.85,132600,75.24
2006-03-01,81.0,82.1,80.15,81.8,145900,76.13
2006-03-02,82.0,83.25,81.4,82.6,176600,76.87
2006-03-03,82.0,88.0,81.8,85.4,501900,79.48
2006-03-06,86.0,88.8,85.25,88.15,437100,82.04
2006-03-07,87.75,88.7,86.15,86.9,134300,80.87
2006-03-08,87.0,87.7,82.0,84.6,271800,78.73
2006-03-09,84.6,93.4,83.0,89.55,894900,83.34
2006-03-10,90.6,93.7,88.6,89.5,579500,83.29
2006-03-13,90.2,90.2,87.7,89.55,199700,83.34
2006-03-14,89.95,90.1,88.4,89.7,177300,83.48
2006-03-16,88.8,92.0,88.8,89.5,256300,83.29
2006-03-17,91.0,91.0,89.5,89.85,118700,83.62
2006-03-20,89.85,92.25,89.85,90.85,226000,84.55
2006-03-21,91.75,91.75,90.35,90.85,133000,84.55
2006-03-22,91.75,94.7,90.3,90.85,376300,84.55
2006-03-23,91.3,92.35,90.25,90.85,112700,84.55
2006-03-24,91.4,92.5,90.0,92.0,142600,85.62
2006-03-27,91.0,97.5,91.0,96.55,297800,89.85
2006-03-28,97.5,104.8,97.5,101.2,746800,94.18
2006-03-29,101.2,103.0,99.6,100.7,188100,93.72
2006-03-30,101.4,102.0,99.0,100.8,121200,93.81
2006-03-31,100.25,101.4,100.0,100.55,86500,93.58
2006-04-03,102.7,103.5,101.0,102.0,95000,94.93
2006-04-04,102.5,102.5,100.0,100.4,111100,93.44
2006-04-05,102.0,103.65,100.0,101.95,358000,94.88
2006-04-07,102.5,102.5,100.2,100.9,476800,93.9
2006-04-10,101.4,102.5,97.5,98.35,151400,91.53
2006-04-12,98.35,100.7,95.05,95.7,144600,89.06
2006-04-13,97.0,97.8,94.75,95.7,230900,89.06
2006-04-17,96.0,97.75,95.6,96.6,167900,89.9
2006-04-18,98.0,100.0,96.5,99.05,472800,92.18
2006-04-19,99.0,101.0,97.1,98.4,91600,91.58
2006-04-20,99.4,101.0,97.5,98.65,182600,91.81
2006-04-21,100.0,100.0,96.8,97.3,68200,90.55
2006-04-24,97.5,98.45,79.0,94.55,442700,87.99
2006-04-25,94.1,96.45,91.6,92.25,126900,85.85
2006-04-26,95.25,95.25,87.3,92.25,591500,85.85
2006-04-27,85.3,97.4,85.3,96.65,399400,89.95
2006-04-28,91.2,100.9,91.2,99.75,898600,92.83
2006-05-02,100.0,100.0,97.3,99.3,529800,92.41
2006-05-03,100.0,105.5,97.55,104.15,669000,96.93
2006-05-04,106.0,109.1,102.0,103.9,468500,96.69
2006-05-05,99.0,106.0,99.0,104.95,228600,97.67
2006-05-08,107.0,107.0,103.2,104.6,220400,97.35
2006-05-09,87.5,106.0,87.5,105.15,266100,97.86
2006-05-10,105.0,107.6,104.0,107.15,196700,99.72
2006-05-11,102.2,107.3,102.2,104.95,98500,97.67
2006-05-12,103.0,106.75,102.2,105.85,146300,98.51
2006-05-15,102.0,107.0,100.65,103.25,205900,96.09
2006-05-16,102.0,103.95,95.1,100.55,220700,93.58
2006-05-17,105.9,106.9,102.05,103.4,139700,96.23
2006-05-18,102.9,102.9,98.5,99.05,163600,92.18
2006-05-19,99.25,103.85,95.0,96.05,128600,89.39
2006-05-22,103.0,103.0,82.0,90.6,320600,84.32
2006-05-23,92.0,92.9,88.1,91.1,156900,84.78
2006-05-24,93.4,94.5,89.5,90.2,84100,83.95
2006-05-25,91.0,91.45,88.5,90.45,133800,84.18
2006-05-26,92.4,93.7,91.25,91.85,122800,85.48
2006-05-29,94.95,94.95,89.5,90.05,86000,83.81
2006-05-30,91.75,92.25,90.0,90.6,64300,84.32
2006-05-31,91.0,91.0,88.05,90.05,129400,83.81
2006-06-01,92.0,92.0,89.8,90.0,72100,83.76
2006-06-02,90.0,91.5,85.0,90.65,138800,84.36
2006-06-05,90.1,91.0,85.1,85.45,79000,79.52
2006-06-06,84.0,86.0,80.5,84.95,180700,79.06
2006-06-07,75.0,84.0,75.0,82.45,193100,76.73
2006-06-08,78.1,81.8,71.1,76.15,199300,70.87
2006-06-09,75.2,80.0,73.0,79.35,88200,73.85
2006-06-12,80.0,83.0,75.9,76.1,49900,70.82
2006-06-13,76.0,76.05,72.0,74.4,103800,69.24
2006-06-14,74.0,77.0,67.0,71.6,142100,66.63
2006-06-15,72.0,84.8,68.55,76.95,250100,71.61
2006-06-16,74.6,85.0,74.6,80.1,137400,74.55
2006-06-19,80.1,81.0,77.5,78.75,38200,73.29
2006-06-20,78.9,80.0,77.5,79.35,23500,73.85
2006-06-21,79.0,82.0,78.9,80.45,36300,74.87
2006-06-22,80.45,84.0,80.45,82.6,48600,76.87
2006-06-23,76.0,88.0,76.0,82.2,26500,76.5
2006-06-26,87.8,87.8,78.3,79.2,33100,73.71
2006-06-27,80.0,81.35,77.05,77.65,41500,72.27
2006-06-28,77.0,77.65,75.8,76.25,22700,70.96
2006-06-29,78.0,79.3,76.5,77.95,38000,72.54
2006-06-30,79.5,80.0,78.0,78.4,36500,72.96
2006-07-03,79.95,81.0,78.0,79.05,42100,73.57
2006-07-04,80.4,80.85,78.5,80.1,128400,74.55
2006-07-05,80.0,81.0,80.0,80.55,38200,74.96
2006-07-06,78.5,84.6,78.5,83.8,81600,77.99
2006-07-07,85.0,88.8,81.0,81.6,677900,75.94
2006-07-10,81.9,81.9,79.0,80.1,68600,74.55
2006-07-11,80.0,83.9,79.0,79.15,35300,73.66
2006-07-12,74.0,80.0,74.0,78.85,22400,73.38
2006-07-13,79.65,79.7,76.55,77.4,40100,72.03
2006-07-14,75.3,78.25,75.3,76.4,29600,71.1
2006-07-17,73.0,77.95,73.0,75.25,62100,70.03
2006-07-18,76.0,77.8,73.0,73.45,40900,68.36
2006-07-19,75.0,76.5,69.8,70.3,50700,65.42
2006-07-20,75.0,75.0,72.0,73.6,35000,68.5
2006-07-21,78.0,78.0,72.0,75.15,98300,69.94
2006-07-24,68.0,77.8,68.0,77.2,91900,71.85
2006-07-25,79.0,81.8,77.2,80.5,378200,74.92
2006-07-26,82.0,82.0,78.5,79.7,68700,74.17
2006-07-27,80.9,81.0,77.5,79.3,141600,73.8
2006-07-28,81.0,81.5,79.35,80.1,561400,74.55
2006-07-31,80.55,82.4,80.0,80.3,55400,74.73
2006-08-01,81.0,81.0,79.75,80.15,30000,74.59
2006-08-02,80.1,80.85,80.0,80.05,24400,74.5
2006-08-03,81.0,81.5,78.5,79.2,42100,73.71
2006-08-04,81.0,81.0,79.3,80.1,33700,74.55
2006-08-07,81.0,81.5,78.0,80.15,31500,74.59
2006-08-08,80.5,81.1,80.0,80.4,26800,74.82
2006-08-09,79.95,90.0,79.05,85.75,170300,79.8
2006-08-10,87.95,97.8,87.95,89.9,460000,83.67
2006-08-11,91.05,92.8,89.5,89.75,369300,83.53
2006-08-14,88.0,90.7,88.0,88.65,86200,82.5
2006-08-16,89.0,90.45,86.25,87.3,100400,81.25
2006-08-17,88.0,88.7,85.0,87.0,77700,80.97
2006-08-18,86.25,86.5,85.2,86.0,60800,80.04
2006-08-21,85.95,89.5,85.0,86.3,1445200,80.32
