Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,52.3975,55.4095,52.3975,54.127,10900,1.98828
2002-07-02,55.2345,55.3705,54.214,54.4375,30500,1.99969
2002-07-03,55.0595,55.458,53.2815,54.661,17000,2.0079
2002-07-04,55.011,55.72,54.1755,55.283,13900,2.03074
2002-07-05,55.6325,56.5655,54.7485,55.905,29400,2.05359
2002-07-08,55.011,57.1875,55.011,56.2545,24400,2.06643
2002-07-09,55.905,57.5855,55.6815,56.167,160900,2.06322
2002-07-10,54.8845,54.8845,51.4645,52.2225,69200,1.91832
2002-07-11,49.7838,52.135,49.7838,51.863,7500,1.90512
2002-07-12,55.011,55.011,52.446,53.194,12000,1.95401
2002-07-15,53.2425,54.797,51.9115,53.33,25100,1.959
2002-07-16,51.999,54.389,51.999,53.155,12400,1.95258
2002-07-17,47.02455,51.377,46.18895,50.4445,10600,1.85301
2002-07-18,48.80255,51.4645,48.3556,50.804,13700,1.86621
2002-07-19,50.2695,52.038,50.221,51.5135,6600,1.89228
2002-07-22,50.804,51.4645,49.68665,49.73525,10800,1.82696
2002-07-23,48.1807,50.843,48.1807,50.6195,20000,1.85944
2002-07-24,50.5805,51.2895,49.37575,50.6195,17200,1.85944
2002-07-25,50.5805,50.5805,47.9184,48.4916,19000,1.78127
2002-07-26,51.4645,51.4645,47.2966,48.7151,25800,1.78948
2002-07-29,42.23465,42.5067,39.03815,42.5067,8500,1.56143
2002-07-30,41.70025,43.2548,40.3692,42.769,33200,1.57106
2002-07-31,41.79745,43.03135,41.4865,42.10835,2700,1.54679
2002-08-01,42.5067,45.1688,42.5067,44.58585,15500,1.6378
2002-08-02,40.6801,46.10155,40.6801,44.9842,14100,1.65243
2002-08-05,45.9655,47.9184,45.25625,47.9184,9400,1.76022
2002-08-06,46.2764,46.8108,46.2764,46.4999,3300,1.70811
2002-08-07,48.00585,48.5402,46.5873,47.52005,12400,1.74558
2002-08-08,47.9184,47.9184,46.1404,46.4999,8200,1.70811
2002-08-09,46.5873,47.02455,45.74205,47.02455,16200,1.72738
2002-08-12,46.1404,47.9184,46.1404,46.1404,5400,1.6949
2002-08-13,46.10155,47.02455,45.25625,45.74205,5600,1.68027
2002-08-14,45.69345,46.41245,45.25625,45.38255,5900,1.66707
2002-08-16,46.1404,46.9371,45.69345,46.4513,3900,1.70632
2002-08-19,45.25625,47.20915,45.1688,45.43115,7700,1.66885
2002-08-20,45.2951,45.2951,43.83775,44.27495,8600,1.62638
2002-08-21,45.25625,46.1404,44.3624,44.411,13600,1.63138
2002-08-22,44.411,44.411,43.47825,44.3624,3000,1.62959
2002-08-23,44.58585,44.80935,44.58585,44.80935,10400,1.64601
2002-08-26,44.3624,44.3624,41.79745,44.3624,2500,1.62959
2002-08-27,44.80935,45.12025,44.3624,44.3624,5400,1.62959
2002-08-28,43.7017,45.606,43.7017,44.10005,1500,1.61995
2002-08-29,44.01265,44.58585,43.47825,43.47825,2400,1.59711
2002-08-30,43.96405,45.74205,43.9252,45.25625,6900,1.66243
2002-09-02,43.7017,43.7017,43.47825,43.47825,3400,1.59711
2002-09-03,43.9252,43.96405,43.7017,43.7017,4600,1.60532
2002-09-04,43.9252,44.3624,43.83775,44.3624,10000,1.62959
2002-09-05,44.3624,44.7219,44.3624,44.6733,900,1.64101
2002-09-06,43.47825,45.25625,43.47825,44.3624,5900,1.62959
2002-09-09,43.5657,44.14865,43.52685,44.01265,2000,1.61674
2002-09-11,43.96405,44.32355,43.47825,43.7503,3200,1.60711
2002-09-12,45.08135,45.08135,43.9252,44.45955,1800,1.63316
2002-09-13,44.3624,44.3624,43.9252,44.3624,2900,1.62959
2002-09-16,44.3624,44.58585,43.9252,44.32355,12300,1.62816
2002-09-17,44.3624,44.58585,44.1875,44.1875,12400,1.62317
2002-09-18,44.3624,44.63445,43.96405,44.10005,8800,1.61995
2002-09-19,43.5657,44.89675,43.5657,44.14865,19600,1.62174
2002-09-20,37.4933,44.3624,37.4933,44.2361,7400,1.62495
2002-09-23,44.9842,45.25625,43.9252,45.12025,13500,1.65743
2002-09-24,44.9842,44.9842,44.1875,44.3624,13000,1.62959
2002-09-25,43.52685,44.3624,43.47825,43.9252,7200,1.61353
2002-09-27,44.0515,44.10005,44.0515,44.10005,1500,1.61995
2002-09-30,44.1875,44.1875,43.9252,43.9252,2000,1.61353
2002-10-01,43.9252,44.3624,43.9252,43.96405,2800,1.61496
2002-10-03,43.47825,43.47825,43.47825,43.47825,1000,1.59711
2002-10-04,43.6143,43.78915,43.5657,43.5657,3100,1.60033
2002-10-07,44.01265,44.3624,43.9252,43.9252,12000,1.61353
2002-10-08,44.3624,44.3624,43.47825,43.7017,9100,1.60532
2002-10-09,43.16735,43.7017,43.1285,43.6143,3400,1.60211
2002-10-10,43.6143,43.6143,43.47825,43.52685,600,1.5989
2002-10-11,43.5657,43.83775,43.47825,43.65315,2200,1.60354
2002-10-14,40.01945,45.4797,40.01945,44.3624,1600,1.62959
2002-10-16,43.5657,44.32355,43.5657,43.96405,1800,1.61496
2002-10-17,44.27495,44.3624,43.47825,44.27495,11300,1.62638
2002-10-18,43.47825,44.3624,43.47825,43.9252,8900,1.61353
2002-10-21,43.47825,44.4984,43.47825,44.3624,25400,1.62959
2002-10-22,43.65315,44.3624,42.5941,42.68155,4300,1.56785
2002-10-23,44.27495,44.27495,42.37065,42.5067,35500,1.56143
2002-10-24,41.74885,42.5941,41.70025,41.9723,10700,1.54179
2002-10-25,41.70025,42.5941,39.97085,41.79745,62800,1.53537
2002-10-28,41.70025,42.5067,41.70025,42.4581,1900,1.55964
2002-10-29,38.20255,41.79745,38.20255,41.74885,2100,1.53359
2002-10-30,43.6143,43.6143,41.74885,41.74885,2200,1.53359
2002-10-31,36.7355,42.5941,36.7355,42.3221,7600,1.55464
2002-11-01,41.3505,42.5941,41.3505,42.5941,3900,1.56464
2002-11-04,40.81615,40.81615,40.81615,40.81615,500,1.49932
2002-11-05,40.8647,42.54555,40.8647,41.0396,4400,1.50753
2002-11-07,41.70025,41.70025,40.64125,40.6801,4700,1.49433
2002-11-08,40.46635,40.8647,40.46635,40.81615,3800,1.49932
2002-11-11,39.53365,41.1756,39.53365,41.1756,6700,1.51253
2002-11-12,40.2429,41.26305,40.1943,40.991,20700,1.50575
2002-11-13,40.1943,42.4581,40.1943,42.01115,6500,1.54322
2002-11-14,42.23465,42.23465,40.3692,41.9723,4500,1.54179
2002-11-15,39.932,42.41925,37.89165,40.64125,5500,1.4929
2002-11-18,41.70025,41.70025,40.90355,40.95215,1000,1.50432
2002-11-20,41.5254,41.70025,41.5254,41.5254,2700,1.52538
2002-11-21,41.6614,42.37065,41.6614,42.37065,3100,1.55643
2002-11-22,43.47825,43.47825,41.57395,41.70025,9000,1.5318
2002-11-25,42.05975,45.4797,41.70025,42.5941,12800,1.56464
2002-11-26,46.1404,46.1404,42.01115,42.4581,4600,1.55964
2002-11-27,42.41925,43.47825,42.41925,42.769,5500,1.57106
2002-11-28,42.633,43.03135,42.05975,42.41925,9100,1.55821
2002-11-29,42.5941,42.5941,41.70025,41.70025,12000,1.5318
2002-12-02,41.3019,45.12025,41.3019,44.3624,70700,1.62959
2002-12-03,40.10685,46.1404,40.10685,43.6143,37800,1.60211
2002-12-04,45.25625,45.25625,42.68155,43.8766,4100,1.61175
2002-12-05,43.9252,44.3624,43.47825,43.47825,1500,1.59711
2002-12-06,43.47825,43.9252,42.90505,43.52685,2600,1.5989
2002-12-09,43.4394,43.4394,42.37065,42.633,9200,1.56606
2002-12-10,42.5941,43.47825,42.5941,43.0799,6800,1.58248
2002-12-11,43.21595,43.47825,42.769,42.769,22900,1.57106
2002-12-12,42.72045,43.2548,42.5941,43.1285,14100,1.58427
2002-12-13,42.68155,43.47825,42.68155,43.4394,3600,1.59569
2002-12-16,43.9252,43.9252,42.85645,43.9252,4200,1.61353
2002-12-17,42.769,43.03135,42.68155,42.8176,42400,1.57285
2002-12-18,42.5941,42.9439,42.5067,42.5941,19400,1.56464
2002-12-19,42.8176,42.8176,42.1472,42.72045,4800,1.56928
2002-12-20,41.70025,42.8176,41.70025,42.41925,3600,1.55821
2002-12-23,42.41925,42.5067,42.19575,42.4581,3600,1.55964
2002-12-24,41.9723,42.5067,41.70025,42.01115,3800,1.54322
2002-12-26,42.10835,42.5941,42.10835,42.37065,21200,1.55643
2002-12-27,42.5941,42.85645,41.70025,42.10835,32500,1.54679
2002-12-30,42.54555,42.54555,41.79745,42.1472,13000,1.54822
2002-12-31,41.92375,44.1875,41.92375,42.68155,11000,1.56785
2003-01-01,43.9252,43.9252,43.03135,43.47825,18500,1.59711
2003-01-02,43.47825,43.7017,43.47825,43.47825,10100,1.59711
2003-01-03,42.5941,43.7017,42.5941,43.6143,3900,1.60211
2003-01-06,40.81615,43.2548,40.81615,43.0799,4100,1.58248
2003-01-07,41.70025,43.7017,41.70025,43.47825,5800,1.59711
2003-01-08,41.74885,43.78915,41.74885,43.47825,13600,1.59711
2003-01-09,42.5941,43.65315,42.23465,42.72045,29600,1.56928
2003-01-10,41.70025,43.5657,41.70025,43.0799,9700,1.58248
2003-01-13,43.2548,43.4394,42.3221,43.4394,4700,1.59569
2003-01-14,43.47825,47.78235,42.5941,47.1217,69200,1.73095
2003-01-15,46.41245,47.78235,44.3624,45.91695,191400,1.6867
2003-01-16,45.91695,45.91695,44.58585,44.58585,27900,1.6378
2003-01-17,44.80935,44.80935,44.32355,44.32355,13400,1.62816
2003-01-20,43.9252,44.3624,43.1285,43.47825,13700,1.59711
2003-01-21,43.4394,44.80935,43.4394,43.65315,4700,1.60354
2003-01-22,43.47825,46.5873,43.47825,43.7017,6600,1.60532
2003-01-23,44.27495,44.3624,43.7503,43.8766,27500,1.61175
2003-01-24,43.5657,43.65315,43.4394,43.4394,10200,1.59569
2003-01-27,43.5657,43.9252,43.03135,43.4394,15500,1.59569
2003-01-28,42.85645,43.65315,42.8176,43.03135,37800,1.5807
2003-01-29,39.932,43.7017,39.932,43.47825,3600,1.59711
2003-01-30,42.85645,43.7503,42.8176,42.85645,6900,1.57427
2003-01-31,44.27495,44.27495,42.99245,43.03135,4100,1.5807
2003-02-03,42.9439,44.0515,42.3221,43.7503,22100,1.60711
2003-02-04,42.8176,43.9252,42.769,43.3908,14200,1.5939
2003-02-05,43.83775,44.2361,43.1285,43.47825,11100,1.59711
2003-02-06,43.3908,43.47825,43.1285,43.4394,8400,1.59569
2003-02-07,43.0799,43.47825,43.0799,43.3034,46200,1.59069
2003-02-10,42.5941,43.9252,42.5941,43.83775,191300,1.61032
2003-02-11,43.47825,43.83775,43.16735,43.2548,36300,1.58891
2003-02-12,43.47825,46.98565,43.47825,44.6733,63600,1.64101
2003-02-14,42.5941,44.3624,42.5941,44.01265,43700,1.61674
2003-02-17,46.5873,46.5873,43.47825,44.89675,61600,1.64922
2003-02-18,44.77045,45.38255,44.77045,45.08135,70900,1.656
2003-02-19,53.2425,53.2425,40.991,45.87805,24000,1.68527
2003-02-20,44.45955,46.41245,44.45955,45.606,15200,1.67527
2003-02-21,45.25625,45.606,44.58585,45.25625,5800,1.66243
2003-02-24,45.12025,46.1404,45.0328,45.69345,26700,1.67849
2003-02-25,42.8176,45.9655,42.8176,45.08135,19500,1.656
2003-02-26,41.70025,46.1404,41.70025,44.3624,12700,1.62959
2003-02-27,46.00435,46.00435,44.3624,45.25625,12900,1.66243
2003-02-28,44.89675,45.69345,44.01265,45.25625,18200,1.66243
2003-03-03,43.9252,45.25625,43.9252,44.80935,15800,1.64601
2003-03-04,43.9252,44.80935,43.9252,44.10005,3300,1.61995
2003-03-05,44.14865,44.45955,43.47825,43.7503,14100,1.60711
2003-03-06,43.9252,44.80935,43.4394,43.6143,36300,1.60211
2003-03-07,43.2548,43.47825,43.03135,43.21595,29300,1.58748
2003-03-10,42.85645,44.3624,42.769,43.03135,24000,1.5807
2003-03-11,42.5941,43.65315,42.5941,43.21595,8900,1.58748
2003-03-12,43.47825,43.47825,43.03135,43.3034,5200,1.59069
2003-03-13,42.85645,44.1875,42.1472,42.5067,40600,1.56143
2003-03-17,42.5941,43.47825,42.41925,43.34225,6900,1.59212
2003-03-19,42.769,43.47825,42.769,43.34225,5200,1.59212
2003-03-20,43.47825,43.52685,43.03135,43.52685,4200,1.5989
2003-03-21,43.1285,43.5657,43.03135,43.34225,11100,1.59212
2003-03-24,43.1285,43.1285,43.1285,43.1285,500,1.58427
2003-03-25,43.1285,43.1285,42.1472,42.4581,9100,1.55964
2003-03-26,42.54555,44.3624,42.37065,42.633,53800,1.56606
2003-03-27,42.68155,42.72045,42.5941,42.633,7100,1.56606
2003-03-28,42.41925,42.99245,41.88485,42.68155,77400,1.56785
2003-03-31,42.8176,42.8176,41.74885,42.19575,19700,1.55
2003-04-01,42.41925,42.54555,42.23465,42.41925,106700,1.55821
2003-04-02,42.19575,42.72045,42.19575,42.41925,88100,1.55821
2003-04-03,46.53875,46.53875,42.2832,42.99245,14500,1.57927
2003-04-04,43.3908,43.4394,43.03135,43.21595,11800,1.58748
2003-04-07,43.47825,44.3624,42.9439,43.03135,61800,1.5807
2003-04-08,43.2548,43.2548,42.68155,43.1285,7800,1.58427
2003-04-09,43.3908,43.47825,42.5941,42.68155,42500,1.56785
2003-04-10,42.37065,43.03135,42.1472,42.37065,20000,1.55643
2003-04-11,42.99245,43.47825,42.41925,42.5941,43800,1.56464
2003-04-15,42.2832,43.4394,42.23465,43.21595,4100,1.58748
2003-04-16,42.5941,43.47825,42.5941,43.4394,16100,1.59569
2003-04-17,44.3624,44.3624,42.8176,43.4394,18600,1.59569
2003-04-21,42.19575,43.9252,42.19575,43.78915,10700,1.60853
2003-04-22,43.03135,43.03135,42.90505,43.03135,66300,1.5807
2003-04-23,43.47825,43.47825,43.0799,43.2548,7100,1.58891
2003-04-24,43.4394,45.2077,43.4394,44.411,19500,1.63138
2003-04-25,45.25625,45.25625,44.01265,44.547,33400,1.63637
2003-04-28,46.22785,46.22785,44.3624,44.58585,10000,1.6378
2003-04-29,44.58585,45.12025,44.3624,44.58585,9700,1.6378
2003-04-30,45.9655,45.9655,44.1875,44.8579,5700,1.64779
2003-05-02,47.6949,47.6949,44.3624,45.606,29000,1.67527
2003-05-05,45.69345,48.7151,45.69345,48.3556,77000,1.77628
2003-05-06,47.9184,48.57905,46.67475,46.8108,27200,1.71953
2003-05-07,47.02455,48.1807,46.18895,47.02455,57500,1.72738
2003-05-08,47.78235,48.14185,47.20915,47.52005,43600,1.74558
2003-05-09,47.47145,51.018,47.47145,50.095,307700,1.84017
2003-05-12,49.68665,51.018,48.80255,50.707,208400,1.86265
2003-05-13,46.5873,50.668,46.5873,50.4445,61600,1.85301
2003-05-14,50.5805,50.5805,47.9184,49.7838,55300,1.82874
2003-05-15,51.4645,51.4645,49.9587,50.046,39600,1.83837
2003-05-16,50.5805,50.7555,47.47145,47.47145,31000,1.7438
2003-05-19,47.52005,48.3556,47.02455,47.02455,48800,1.72738
2003-05-20,47.02455,47.02455,46.4513,46.6262,34200,1.71275
2003-05-21,46.5873,48.26815,46.5873,48.1807,172200,1.76985
2003-05-22,45.25625,49.5118,45.25625,48.80255,48500,1.79269
2003-05-23,51.018,51.2025,49.42435,50.7555,73700,1.86443
2003-05-26,49.9587,50.979,49.9587,50.9305,83200,1.87086
2003-05-27,50.221,51.377,50.1335,50.493,46300,1.85479
2003-05-28,50.5805,52.349,50.182,51.154,54800,1.87907
2003-05-29,51.018,51.9115,51.018,51.5135,29100,1.89228
2003-05-30,51.4645,53.991,51.4645,53.466,86100,1.964
2003-06-02,55.011,55.011,54.127,54.8845,71000,2.01611
2003-06-03,54.1755,55.011,52.5725,52.7955,57200,1.93937
2003-06-04,52.7955,52.9705,51.9115,52.621,9600,1.93296
2003-06-05,53.155,53.155,51.4645,51.863,17000,1.90512
2003-06-06,51.426,53.2425,51.426,52.485,36200,1.92796
2003-06-09,51.4645,51.9115,51.377,51.9115,8400,1.9069
2003-06-10,51.9505,51.9505,51.2025,51.2895,17500,1.88405
2003-06-11,51.4645,52.31,51.2025,52.038,27400,1.91154
2003-06-12,53.194,53.466,52.31,52.485,20200,1.92796
2003-06-13,51.2025,52.7955,51.2025,51.426,71800,1.88906
