Date,Open,High,Low,Close,Volume,Adj Close
2007-12-12,288.75,320.0,288.75,302.05,65810400,107.35700000000001
2007-12-13,302.0,302.96,288.64,291.53,9109400,103.618
2007-12-14,290.67,303.94,287.03,294.75,8933500,104.76299999999999
2007-12-17,293.6,297.8,283.01,285.27,2655200,101.39299999999999
2007-12-18,288.95,288.95,274.22,281.26,2281100,99.96799999999999
2007-12-19,294.0,300.0,279.2,281.26,2335500,99.96799999999999
2007-12-20,284.2,284.8,278.05,279.65,1177700,99.396
2007-12-24,284.0,285.0,279.0,280.29,1254800,99.62299999999999
2007-12-26,278.0,285.0,278.0,284.12,1236100,100.985
2007-12-27,285.69,289.4,281.6,283.33,3156300,100.704
2007-12-28,280.27,308.0,280.27,304.71,7120600,108.303
2007-12-31,308.0,328.4,305.0,323.76,9355400,115.074
2008-01-01,324.99,341.32,321.0,337.61,8838000,119.99600000000001
2008-01-02,332.87,359.0,332.87,351.18,8511300,124.82
2008-01-03,356.96,358.98,346.05,348.1,2791900,123.725
2008-01-04,353.0,353.0,341.05,343.25,1906900,122.001
2008-01-07,336.0,351.97,336.0,344.55,1998800,122.463
2008-01-08,347.98,348.0,330.0,336.63,3377300,119.648
2008-01-09,332.05,337.92,326.22,329.03,1463900,116.947
2008-01-10,326.2,333.99,302.0,307.6,1858900,109.33
2008-01-11,312.0,322.0,303.96,313.41,2052500,111.395
2008-01-14,334.0,334.0,315.01,316.65,1773600,112.54700000000001
2008-01-15,319.6,319.6,307.1,309.98,891600,110.176
2008-01-16,301.2,306.9,289.01,300.32,2052200,106.743
2008-01-17,303.0,310.0,297.6,302.01,1467200,107.34299999999999
2008-01-18,296.0,302.0,279.03,283.0,1259700,100.586
2008-01-21,299.8,299.8,203.0,213.6,3187800,75.92
2008-01-22,182.0,214.0,120.31,180.0,5195900,63.977
2008-01-23,199.02,227.0,180.6,220.2,3478200,78.266
2008-01-24,230.0,237.6,190.0,200.09,1815500,71.118
2008-01-25,206.4,214.88,200.2,211.59,985000,75.205
2008-01-28,206.0,206.0,190.6,202.1,835900,71.832
2008-01-29,210.22,211.22,202.2,209.1,613200,74.32
2008-01-30,210.58,217.0,203.11,207.91,936700,73.89699999999999
2008-01-31,208.22,224.0,195.8,210.32,4517700,74.75399999999999
2008-02-01,214.42,224.8,200.4,203.35,596000,72.277
2008-02-04,208.0,216.0,205.0,206.91,445200,73.542
2008-02-05,205.84,208.8,201.19,202.72,333000,72.053
2008-02-06,196.0,207.0,192.0,205.22,1241000,72.941
2008-02-07,199.2,212.94,199.2,203.64,1302800,72.38
2008-02-08,200.0,204.8,190.02,199.3,1440000,70.837
2008-02-11,196.0,197.98,175.8,178.94,1074200,63.601000000000006
2008-02-12,180.0,183.6,162.52,172.33,1297200,61.251000000000005
2008-02-13,171.0,182.0,171.0,174.08,917600,61.873000000000005
2008-02-14,183.0,185.49,178.0,181.78,473000,64.61
2008-02-15,181.78,181.8,172.0,179.4,683100,63.763999999999996
2008-02-18,181.56,185.54,178.0,179.13,331200,63.668
2008-02-19,183.8,183.8,179.0,180.11,393300,64.016
2008-02-20,166.0,179.98,166.0,175.97,301200,62.545
2008-02-21,174.0,180.0,174.0,179.72,208100,63.878
2008-02-22,173.0,178.0,167.6,176.1,367000,62.591
2008-02-25,179.4,179.4,173.22,177.5,406700,63.089
2008-02-26,176.0,180.6,172.0,180.04,699300,63.99100000000001
2008-02-27,184.8,190.42,175.53,177.58,468600,63.117
2008-02-28,178.9,178.9,171.0,175.63,1015800,62.424
2008-02-29,175.4,175.88,160.0,170.94,1242000,60.757
2008-03-03,162.0,164.6,149.02,153.88,1767800,54.693000000000005
2008-03-04,155.94,158.96,142.0,152.55,1743700,54.221000000000004
2008-03-05,145.0,157.8,132.33,154.14,405200,54.786
2008-03-07,145.42,149.0,140.0,143.82,695700,51.118
2008-03-10,144.0,148.0,131.03,144.2,557300,51.253
2008-03-11,144.2,150.58,135.0,138.27,1820200,49.145
2008-03-12,140.4,145.98,138.0,140.84,2068200,50.059
2008-03-13,132.07,140.0,131.6,134.83,1334200,47.923
2008-03-14,135.2,139.54,128.41,135.32,487500,48.097
2008-03-17,124.01,129.28,120.6,122.84,892700,43.661
2008-03-18,121.0,128.0,120.4,123.29,421400,43.821000000000005
2008-03-19,135.0,139.4,113.23,117.87,677400,41.894
2008-03-24,121.0,122.0,112.8,116.54,509700,41.422
2008-03-25,119.8,147.54,119.41,142.8,2765100,50.755
2008-03-26,144.16,152.56,136.02,147.02,3832200,52.255
2008-03-27,146.0,176.56,142.0,170.74,14978500,60.68600000000001
2008-03-28,172.0,173.8,157.2,160.72,6461300,57.125
2008-03-31,156.02,174.18,154.0,165.49,5629300,58.82
2008-04-01,186.8,186.8,158.42,161.47,2027700,57.391000000000005
2008-04-02,173.98,173.98,155.85,159.73,1308300,56.773
2008-04-03,160.0,164.8,155.0,159.05,1160100,56.531000000000006
2008-04-04,159.05,159.05,148.43,152.28,1416400,54.125
2008-04-07,150.0,155.76,145.26,151.82,874400,53.961000000000006
2008-04-08,155.58,155.58,148.52,151.97,560500,54.015
2008-04-09,151.0,161.8,149.21,152.75,1629000,54.292
2008-04-10,153.0,158.34,151.2,152.11,744800,54.06399999999999
2008-04-11,154.9,155.58,151.0,152.48,428900,54.196000000000005
2008-04-15,150.2,163.98,149.61,158.05,1666700,56.176
2008-04-16,160.8,163.8,157.31,158.8,605400,56.442
2008-04-17,160.2,162.96,155.28,155.73,746100,55.351000000000006
2008-04-21,158.4,162.6,158.0,159.78,1115200,56.79
2008-04-22,160.0,170.94,159.2,167.64,2366200,59.583999999999996
2008-04-23,168.0,170.75,166.01,168.36,1233200,59.84
2008-04-24,169.94,173.41,167.0,167.98,2167400,59.705
2008-04-25,168.0,170.0,162.0,167.15,353900,59.41
2008-04-28,168.0,169.68,161.8,165.56,316100,58.845
2008-04-29,165.8,169.96,164.0,166.23,484000,59.083
2008-04-30,166.99,172.4,164.02,165.12,711100,58.688
2008-05-02,168.8,170.0,165.01,165.69,343000,58.891000000000005
2008-05-05,166.2,175.0,165.8,171.94,2232500,61.113
2008-05-06,173.6,180.95,165.0,166.37,2917400,59.133
2008-05-07,169.6,169.8,162.8,163.82,729700,58.226000000000006
2008-05-08,163.0,166.8,155.13,163.49,511400,58.108999999999995
2008-05-09,161.8,165.2,155.27,157.14,474800,55.852
2008-05-12,157.4,157.4,148.83,153.23,1019800,54.461999999999996
2008-05-13,155.0,160.78,148.42,151.1,739000,53.705
